method,feature,importance
Random Forest,theta_power,0.010579234421951111
Random Forest,alpha_power,0.0026496392231349507
Random Forest,beta_power,0.01683320094520601
Random Forest,gamma_power,0.04634985630093678
Random Forest,total_power,0.00826918924176178
Random Forest,theta_norm,0.012852025581810993
Random Forest,alpha_norm,0.0392820439151772
Random Forest,beta_norm,0.004299867170737577
Random Forest,gamma_norm,0.011535994563372834
Random Forest,log_theta,0.014612772493606862
Random Forest,log_alpha,0.0027403812031800722
Random Forest,log_beta,0.028152272676664827
Random Forest,log_gamma,0.057421127408899354
Random Forest,alpha_beta_ratio,0.023419060975911683
Random Forest,beta_theta_ratio,0.004987910841265718
Random Forest,theta_alpha_ratio,0.03447646413733966
Random Forest,gamma_alpha_ratio,0.030567550313419685
Random Forest,gamma_beta_ratio,0.005619607616942473
Random Forest,high_low_ratio,0.006449524542281142
Random Forest,lr_alpha_asymmetry,0.0022427175313615307
Random Forest,fp_alpha_asymmetry,0.00401354640411434
Random Forest,alpha_spatial_var,0.003888292431449889
Random Forest,beta_spatial_var,0.07810786027747997
Random Forest,spectral_centroid,0.02149523972754237
Random Forest,spectral_edge_95,0.002696986418134693
Random Forest,spectral_spread,0.0029467381884757354
Random Forest,dominant_frequency,0.0007639841833965985
Random Forest,spectral_skewness,0.005728122843950907
Random Forest,spectral_kurtosis,0.0026178999663119826
Random Forest,peak_to_avg_ratio,0.0026944346071795847
Random Forest,temporal_mean,0.001107351921030872
Random Forest,temporal_std,0.029119163934384507
Random Forest,temporal_var,0.0229030140622948
Random Forest,temporal_skewness,0.005314564934344355
Random Forest,temporal_kurtosis,0.010410254060756756
Random Forest,temporal_envelope_mean,0.011823656129174395
Random Forest,temporal_envelope_std,0.0513718360268663
Random Forest,temporal_zero_crossing_rate,0.0011622735001780226
Random Forest,temporal_rms,0.03111962010670103
Random Forest,temporal_peak_to_peak,0.061328331687808504
Random Forest,avg_channel_correlation,0.002070185870767473
Random Forest,std_channel_correlation,0.008266522061193937
Random Forest,delta_alpha_power,0.000359481382224169
Random Forest,rel_delta_alpha_power,0.0008851516026204319
Random Forest,delta_beta_power,0.0013046696736220378
Random Forest,rel_delta_beta_power,0.002898212221311192
Random Forest,delta_theta_power,0.0034975914261922048
Random Forest,rel_delta_theta_power,0.0021588065534637038
Random Forest,delta_gamma_power,0.004950385220957283
Random Forest,rel_delta_gamma_power,0.00269426890401494
Random Forest,delta_alpha_beta_ratio,0.002932254251756407
Random Forest,rel_delta_alpha_beta_ratio,0.0015985091675259537
Random Forest,delta_beta_theta_ratio,0.0007678961710782342
Random Forest,rel_delta_beta_theta_ratio,0.0014839619408188467
Random Forest,delta_spectral_centroid,0.0026395164296445237
Random Forest,rel_delta_spectral_centroid,0.0020311741449163564
Random Forest,ma3_alpha_beta_ratio,0.07184883024960713
Random Forest,ma3_beta_theta_ratio,0.024674008301031395
Random Forest,ma3_alpha_power,0.00263339454582908
Random Forest,ma3_beta_power,0.015558694793586656
Random Forest,ma5_alpha_beta_ratio,0.07015328065289746
Random Forest,std5_alpha_beta_ratio,0.007339154524180666
Random Forest,ma5_beta_theta_ratio,0.04468406084163526
Random Forest,std5_beta_theta_ratio,0.0007272045886048452
Random Forest,trend_alpha_beta_ratio,0.005333690761965365
Random Forest,trend_strength_alpha_beta_ratio,0.0007232053782836844
Random Forest,trend_beta_theta_ratio,0.0011382350534652334
Random Forest,trend_strength_beta_theta_ratio,0.0006940407702678408
XGBoost,theta_power,0.019199034199118614
XGBoost,alpha_power,0.004022394772619009
XGBoost,beta_power,0.018199123442173004
XGBoost,gamma_power,0.022123627364635468
XGBoost,total_power,0.010963193140923977
XGBoost,theta_norm,0.02326943539083004
XGBoost,alpha_norm,0.03379536792635918
XGBoost,beta_norm,0.005761864595115185
XGBoost,gamma_norm,0.0038778784219175577
XGBoost,log_theta,0.008849072270095348
XGBoost,log_alpha,0.0007794682751409709
XGBoost,log_beta,0.0
XGBoost,log_gamma,0.006301539484411478
XGBoost,alpha_beta_ratio,0.0030369313899427652
XGBoost,beta_theta_ratio,0.01832272857427597
XGBoost,theta_alpha_ratio,0.009468289092183113
XGBoost,gamma_alpha_ratio,0.02145995944738388
XGBoost,gamma_beta_ratio,0.005727742332965136
XGBoost,high_low_ratio,0.005074785556644201
XGBoost,lr_alpha_asymmetry,0.003179678227752447
XGBoost,fp_alpha_asymmetry,0.0016040244372561574
XGBoost,alpha_spatial_var,0.00662999739870429
XGBoost,beta_spatial_var,0.04221829026937485
XGBoost,spectral_centroid,0.010791690088808537
XGBoost,spectral_edge_95,0.007618827745318413
XGBoost,spectral_spread,0.007120389491319656
XGBoost,dominant_frequency,0.0057403286918997765
XGBoost,spectral_skewness,0.004892392084002495
XGBoost,spectral_kurtosis,0.0025741029530763626
XGBoost,peak_to_avg_ratio,0.013139398768544197
XGBoost,temporal_mean,0.001610643113963306
XGBoost,temporal_std,0.0037591708824038506
XGBoost,temporal_var,0.009067160077393055
XGBoost,temporal_skewness,0.006129302550107241
XGBoost,temporal_kurtosis,0.0060993037186563015
XGBoost,temporal_envelope_mean,0.00011953216016991064
XGBoost,temporal_envelope_std,0.017398690804839134
XGBoost,temporal_zero_crossing_rate,0.004934930708259344
XGBoost,temporal_rms,0.006769349332898855
XGBoost,temporal_peak_to_peak,0.1790751814842224
XGBoost,avg_channel_correlation,0.004386049695312977
XGBoost,std_channel_correlation,0.005030575208365917
XGBoost,delta_alpha_power,0.014369701966643333
XGBoost,rel_delta_alpha_power,0.002797161228954792
XGBoost,delta_beta_power,0.008754989132285118
XGBoost,rel_delta_beta_power,0.016532205045223236
XGBoost,delta_theta_power,0.009029592387378216
XGBoost,rel_delta_theta_power,0.003064850578084588
XGBoost,delta_gamma_power,0.011470534838736057
XGBoost,rel_delta_gamma_power,0.015246779657900333
XGBoost,delta_alpha_beta_ratio,0.004739188589155674
XGBoost,rel_delta_alpha_beta_ratio,0.00879910308867693
XGBoost,delta_beta_theta_ratio,0.0020479513332247734
XGBoost,rel_delta_beta_theta_ratio,0.007692680694162846
XGBoost,delta_spectral_centroid,0.005704617127776146
XGBoost,rel_delta_spectral_centroid,0.009367844089865685
XGBoost,ma3_alpha_beta_ratio,0.0557728037238121
XGBoost,ma3_beta_theta_ratio,0.020574398338794708
XGBoost,ma3_alpha_power,0.005489678587764502
XGBoost,ma3_beta_power,0.0014334290754050016
XGBoost,ma5_alpha_beta_ratio,0.10490421950817108
XGBoost,std5_alpha_beta_ratio,0.017347097396850586
XGBoost,ma5_beta_theta_ratio,0.07620929926633835
XGBoost,std5_beta_theta_ratio,0.002887596609070897
XGBoost,trend_alpha_beta_ratio,0.012449268251657486
XGBoost,trend_strength_alpha_beta_ratio,0.004909879062324762
XGBoost,trend_beta_theta_ratio,0.006611931137740612
XGBoost,trend_strength_beta_theta_ratio,0.001671672915108502
